method,method_category,task,difficulty,n_agents,episodes,success_rate,time_to_success_mean_s,energy_proxy_mean,constraint_violations_mean,collision_rate_mean,task_completion_ratio_mean,planner_stride_steps,current_gain,dynamics_model,max_new_tokens,planner_calls,valid_plan_ratio,fallback_ratio,uncached_calls,latency_ms_per_uncached_call,prompt_tokens_per_uncached_call,output_tokens_per_uncached_call
heuristic,low_level_heuristic,area_scan_terrain_recon,medium,8,3,0.3333333333333333,792.0,15937.884852854178,0.0,0.0,0.7466666666666667,,2.0,6dof,,,,,,,,
heuristic,low_level_heuristic,pipeline_inspection_leak_detection,medium,8,3,0.6666666666666666,580.0,10214.400000000203,0.0,0.5077941299037302,0.6666666666666666,,2.0,6dof,,,,,,,,
heuristic,low_level_heuristic,surface_pollution_cleanup_multiagent,medium,10,3,0.6666666666666666,581.0,9025.389224066528,0.0,0.474336593570398,0.9444444444444444,,2.0,6dof,,,,,,,,
llm_chatglm3_6b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.6666666666666666,720.0,12377.892798145307,0.0,0.0,0.7733333333333333,200,2.0,6dof,96,18,0.05555555555555555,0.9444444444444444,18,1718.3178000979954,610.8333333333334,91.72222222222223
llm_chatglm3_6b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.3333333333333333,654.0,12494.087392405609,0.0,0.1111111111111111,0.5555555555555556,200,2.0,6dof,96,20,0.5,0.5,20,1458.0534934997559,637.6,77.15
llm_chatglm3_6b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,0.6666666666666666,583.5,9048.840893593595,0.0,0.4738105105282892,0.9444444444444444,200,2.0,6dof,96,11,0.6363636363636364,0.36363636363636365,11,1068.1123516776345,639.2727272727273,51.18181818181818
llm_llama2_7b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.0,,19137.755408880294,0.0,0.0,0.7066666666666667,200,2.0,6dof,96,30,1.0,0.0,30,7400.449029604594,620.7666666666667,715.7666666666667
llm_llama2_7b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.3333333333333333,427.0,11718.03971248943,0.0,0.002,0.5555555555555556,200,2.0,6dof,96,19,1.0,0.0,19,7581.122661891736,645.2631578947369,740.2631578947369
llm_llama2_7b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,0.6666666666666666,582.5,9040.283110539252,0.0,0.47280127649297016,0.9444444444444444,200,2.0,6dof,96,11,0.7272727272727273,0.2727272727272727,11,7247.569582679055,649.0909090909091,744.0909090909091
llm_llama3_8b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.0,,19726.00469561368,0.0,0.006833333333333334,0.7466666666666667,200,2.0,6dof,96,30,1.0,0.0,30,1974.0865468978882,435.0,456.0
llm_llama3_8b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.3333333333333333,543.0,12180.981001201262,0.0,0.006730509515039902,0.611111111111111,200,2.0,6dof,96,19,1.0,0.0,19,2029.8478226912648,466.0,487.0
llm_llama3_8b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,1.0,666.0,9584.95579870488,0.0,0.01353874883286648,1.0,200,2.0,6dof,96,12,0.3333333333333333,0.6666666666666667,12,2363.771438598633,483.0,508.0
llm_mistral7b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.0,,20237.008555591594,0.0,0.005,0.7466666666666667,200,2.0,6dof,96,30,1.0,0.0,30,6105.068318049113,605.4,677.7
llm_mistral7b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.6666666666666666,403.0,8714.926619546872,0.0,0.001899335232668566,0.6666666666666666,200,2.0,6dof,96,13,0.8461538461538461,0.15384615384615385,13,4559.411379007192,631.0,681.6923076923077
llm_mistral7b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,1.0,625.0,8993.90846544411,0.0,0.2571084447561403,1.0,200,2.0,6dof,96,12,0.25,0.75,12,3404.9428701400757,628.75,668.8333333333334
llm_qwen2_7b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.6666666666666666,299.5,9851.525626412196,0.0,0.0033333333333333335,0.8133333333333334,200,2.0,6dof,96,14,0.9285714285714286,0.0714285714285714,14,2301.368066242763,585.6428571428571,610.8571428571429
llm_qwen2_7b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.3333333333333333,520.0,12154.47340394024,0.0,0.048735042735042734,0.611111111111111,200,2.0,6dof,96,19,1.0,0.0,19,2264.260492826763,609.7894736842105,633.1578947368421
llm_qwen2_7b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,0.6666666666666666,507.5,8319.43207000203,0.0,0.49154040404040406,0.9444444444444444,200,2.0,6dof,96,10,0.3,0.7,10,2669.724726676941,615.8,644.8
llm_qwen2p5_7b,high_level_llm_planner,area_scan_terrain_recon,medium,8,3,0.3333333333333333,1794.0,19819.331727296096,0.0,0.017890746934225193,0.76,200,2.0,6dof,96,29,1.0,0.0,29,2112.8567087239235,587.8275862068965,610.5172413793103
llm_qwen2p5_7b,high_level_llm_planner,pipeline_inspection_leak_detection,medium,8,3,0.6666666666666666,879.0,11606.093279908675,0.0,0.003666363616685066,0.6666666666666666,200,2.0,6dof,96,18,1.0,0.0,18,2129.7253370285034,610.7222222222222,632.8333333333334
llm_qwen2p5_7b,high_level_llm_planner,surface_pollution_cleanup_multiagent,medium,10,3,1.0,670.0,9641.92387474923,0.0,0.01353874883286648,1.0,200,2.0,6dof,96,12,0.3333333333333333,0.6666666666666667,12,2439.6392504374185,616.5,642.6666666666666
mlp_bc,low_level_behavior_cloning,area_scan_terrain_recon,medium,8,3,0.0,,10404.35265226151,0.0,0.0,0.7333333333333334,,2.0,6dof,,,,,,,,
mlp_bc,low_level_behavior_cloning,pipeline_inspection_leak_detection,medium,8,3,0.6666666666666666,784.5,9061.057660085906,0.0,0.5307185058812967,0.6666666666666666,,2.0,6dof,,,,,,,,
mlp_bc,low_level_behavior_cloning,surface_pollution_cleanup_multiagent,medium,10,3,0.0,,3751.717976945582,0.0,0.2810185185185185,0.2777777777777778,,2.0,6dof,,,,,,,,
